Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,literacy_category,literacy_level,info
Argentina,2014,Female,15-24 year olds,Percent,99.46383,High,Satisfactory,Argentina - Satisfactory
Argentina,2015,Female,15-24 year olds,Percent,99.48284,High,Satisfactory,Argentina - Satisfactory
Argentina,1980,Male,15-24 year olds,Percent,96.45922,High,Satisfactory,Argentina - Satisfactory
Argentina,1991,Male,15-24 year olds,Percent,98.06549,High,Satisfactory,Argentina - Satisfactory
Argentina,2001,Male,15-24 year olds,Percent,98.7079,High,Satisfactory,Argentina - Satisfactory
Argentina,2014,Male,15-24 year olds,Percent,99.1073,High,Satisfactory,Argentina - Satisfactory
Argentina,2015,Male,15-24 year olds,Percent,99.13132,High,Satisfactory,Argentina - Satisfactory
Armenia,1989,Male,15-24 year olds,Percent,99.90937,High,Satisfactory,Armenia - Satisfactory
Armenia,2001,Male,15-24 year olds,Percent,99.75235,High,Satisfactory,Armenia - Satisfactory
Armenia,2011,Male,15-24 year olds,Percent,99.81842,High,Satisfactory,Armenia - Satisfactory
Armenia,2015,Male,15-24 year olds,Percent,99.81629,High,Satisfactory,Armenia - Satisfactory
Armenia,1989,All genders,15-24 year olds,Percent,99.90996,High,Satisfactory,Armenia - Satisfactory
Armenia,2001,All genders,15-24 year olds,Percent,99.80728,High,Satisfactory,Armenia - Satisfactory
Armenia,2011,All genders,15-24 year olds,Percent,99.8474,High,Satisfactory,Armenia - Satisfactory
Armenia,2015,All genders,15-24 year olds,Percent,99.8454,High,Satisfactory,Armenia - Satisfactory
Armenia,1989,Female,15-24 year olds,Percent,99.91057,High,Satisfactory,Armenia - Satisfactory
Armenia,2001,Female,15-24 year olds,Percent,99.86167,High,Satisfactory,Armenia - Satisfactory
Armenia,2011,Female,15-24 year olds,Percent,99.87619,High,Satisfactory,Armenia - Satisfactory
Armenia,2015,Female,15-24 year olds,Percent,99.87256,High,Satisfactory,Armenia - Satisfactory
Aruba,2000,Female,15-24 year olds,Percent,99.16637,High,Satisfactory,Aruba - Satisfactory
Aruba,2010,Female,15-24 year olds,Percent,99.3231,High,Satisfactory,Aruba - Satisfactory
Aruba,2015,Female,15-24 year olds,Percent,99.36831,High,Satisfactory,Aruba - Satisfactory
Aruba,2000,Male,15-24 year olds,Percent,98.88176,High,Satisfactory,Aruba - Satisfactory
Aruba,2010,Male,15-24 year olds,Percent,98.96573,High,Satisfactory,Aruba - Satisfactory
Aruba,2015,Male,15-24 year olds,Percent,99.45435,High,Satisfactory,Aruba - Satisfactory
Aruba,2000,All genders,15-24 year olds,Percent,99.02641,High,Satisfactory,Aruba - Satisfactory
Aruba,2010,All genders,15-24 year olds,Percent,99.13841,High,Satisfactory,Aruba - Satisfactory
Aruba,2015,All genders,15-24 year olds,Percent,99.4122,High,Satisfactory,Aruba - Satisfactory
Azerbaijan,2012,All genders,15-24 year olds,Percent,99.93675,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2013,All genders,15-24 year olds,Percent,99.95247,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2014,All genders,15-24 year olds,Percent,99.95699,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2015,All genders,15-24 year olds,Percent,99.956,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2011,Female,15-24 year olds,Percent,99.93176,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2012,Female,15-24 year olds,Percent,99.91767,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2013,Female,15-24 year olds,Percent,99.9267,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2014,Female,15-24 year olds,Percent,99.93638,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2015,Female,15-24 year olds,Percent,99.93462,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2011,Male,15-24 year olds,Percent,99.95603,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2012,Male,15-24 year olds,Percent,99.955,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2013,Male,15-24 year olds,Percent,99.97687,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2014,Male,15-24 year olds,Percent,99.97624,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2015,Male,15-24 year olds,Percent,99.97571,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,1999,Female,15-24 year olds,Percent,99.90149,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2007,Female,15-24 year olds,Percent,100.0,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2009,Female,15-24 year olds,Percent,99.94579,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2010,Female,15-24 year olds,Percent,99.93333,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,1999,Male,15-24 year olds,Percent,99.87034,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2007,Male,15-24 year olds,Percent,100.0,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2009,Male,15-24 year olds,Percent,99.95678,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2010,Male,15-24 year olds,Percent,99.96745,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,1999,All genders,15-24 year olds,Percent,99.8861,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2007,All genders,15-24 year olds,Percent,100.0,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2009,All genders,15-24 year olds,Percent,99.9513,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2010,All genders,15-24 year olds,Percent,99.9506,High,Satisfactory,Azerbaijan - Satisfactory
Azerbaijan,2011,All genders,15-24 year olds,Percent,99.9441,High,Satisfactory,Azerbaijan - Satisfactory
Bahrain,1981,Female,15-24 year olds,Percent,82.07742,High,Satisfactory,Bahrain - Satisfactory
Bahrain,1981,Male,15-24 year olds,Percent,89.69038,High,Satisfactory,Bahrain - Satisfactory
Bahrain,1991,Male,15-24 year olds,Percent,97.25867,High,Satisfactory,Bahrain - Satisfactory
Bahrain,2001,Male,15-24 year olds,Percent,96.82708,High,Satisfactory,Bahrain - Satisfactory
Bahrain,2010,Male,15-24 year olds,Percent,98.61991,High,Satisfactory,Bahrain - Satisfactory
Bahrain,2015,Male,15-24 year olds,Percent,99.7902,High,Satisfactory,Bahrain - Satisfactory
Bahrain,1991,Female,15-24 year olds,Percent,96.57877,High,Satisfactory,Bahrain - Satisfactory
Bahrain,2001,Female,15-24 year olds,Percent,97.25061,High,Satisfactory,Bahrain - Satisfactory
Bahrain,2010,Female,15-24 year olds,Percent,97.58234,High,Satisfactory,Bahrain - Satisfactory
Bahrain,2015,Female,15-24 year olds,Percent,99.7438,High,Satisfactory,Bahrain - Satisfactory
Bahrain,1981,All genders,15-24 year olds,Percent,86.29309,High,Satisfactory,Bahrain - Satisfactory
Bahrain,1991,All genders,15-24 year olds,Percent,96.93811,High,Satisfactory,Bahrain - Satisfactory
Bahrain,2001,All genders,15-24 year olds,Percent,97.02471,High,Satisfactory,Bahrain - Satisfactory
Bahrain,2010,All genders,15-24 year olds,Percent,98.1636,High,Satisfactory,Bahrain - Satisfactory
Bahrain,2015,All genders,15-24 year olds,Percent,99.77188,High,Satisfactory,Bahrain - Satisfactory
Bangladesh,1981,Male,15-24 year olds,Percent,44.36216,Medium,Satisfactory,Bangladesh - Satisfactory
Bangladesh,1991,Male,15-24 year olds,Percent,51.73673,Medium,Satisfactory,Bangladesh - Satisfactory
Bangladesh,2001,Male,15-24 year olds,Percent,67.16381,Medium,Satisfactory,Bangladesh - Satisfactory
Bangladesh,2014,Male,15-24 year olds,Percent,79.77636,High,Satisfactory,Bangladesh - Satisfactory
Bangladesh,2015,Male,15-24 year olds,Percent,80.62255,High,Satisfactory,Bangladesh - Satisfactory
Bangladesh,1991,Female,15-24 year olds,Percent,37.98975,Low,Needs Improvement,Bangladesh - Needs Improvement
Bangladesh,2001,Female,15-24 year olds,Percent,60.25623,Medium,Satisfactory,Bangladesh - Satisfactory
Bangladesh,2014,Female,15-24 year olds,Percent,84.63501,High,Satisfactory,Bangladesh - Satisfactory
Bangladesh,2015,Female,15-24 year olds,Percent,85.86645,High,Satisfactory,Bangladesh - Satisfactory
Bangladesh,1981,Female,15-24 year olds,Percent,27.15101,Low,Needs Improvement,Bangladesh - Needs Improvement
Bangladesh,1981,All genders,15-24 year olds,Percent,35.65325,Low,Needs Improvement,Bangladesh - Needs Improvement
Bangladesh,1991,All genders,15-24 year olds,Percent,44.68083,Medium,Satisfactory,Bangladesh - Satisfactory
Bangladesh,2001,All genders,15-24 year olds,Percent,63.62273,Medium,Satisfactory,Bangladesh - Satisfactory
Bangladesh,2014,All genders,15-24 year olds,Percent,82.16696,High,Satisfactory,Bangladesh - Satisfactory
Bangladesh,2015,All genders,15-24 year olds,Percent,83.19781,High,Satisfactory,Bangladesh - Satisfactory
Belarus,1989,Male,15-24 year olds,Percent,99.73198,High,Satisfactory,Belarus - Satisfactory
Belarus,1999,Male,15-24 year olds,Percent,99.75687,High,Satisfactory,Belarus - Satisfactory
Belarus,2009,Male,15-24 year olds,Percent,99.80033,High,Satisfactory,Belarus - Satisfactory
Belarus,2015,Male,15-24 year olds,Percent,99.82029,High,Satisfactory,Belarus - Satisfactory
Belarus,1989,All genders,15-24 year olds,Percent,99.76628,High,Satisfactory,Belarus - Satisfactory
Belarus,1999,All genders,15-24 year olds,Percent,99.79184,High,Satisfactory,Belarus - Satisfactory
Belarus,2009,All genders,15-24 year olds,Percent,99.82321,High,Satisfactory,Belarus - Satisfactory
Belarus,2015,All genders,15-24 year olds,Percent,99.84019,High,Satisfactory,Belarus - Satisfactory
Belarus,1989,Female,15-24 year olds,Percent,99.80054,High,Satisfactory,Belarus - Satisfactory
Belarus,1999,Female,15-24 year olds,Percent,99.82821,High,Satisfactory,Belarus - Satisfactory
Belarus,2009,Female,15-24 year olds,Percent,99.84739,High,Satisfactory,Belarus - Satisfactory
Belarus,2015,Female,15-24 year olds,Percent,99.86124,High,Satisfactory,Belarus - Satisfactory
Belize,1991,Female,15-24 year olds,Percent,79.8089274245344,High,Satisfactory,Belize - Satisfactory
Belize,2015,Female,15-24 year olds,Percent,89.92478,High,Satisfactory,Belize - Satisfactory
Belize,1991,All genders,15-24 year olds,Percent,79.3117408906883,High,Satisfactory,Belize - Satisfactory
Belize,2015,All genders,15-24 year olds,Percent,88.60581,High,Satisfactory,Belize - Satisfactory
Belize,1991,Male,15-24 year olds,Percent,78.8059457693564,High,Satisfactory,Belize - Satisfactory
Belize,2015,Male,15-24 year olds,Percent,87.28177,High,Satisfactory,Belize - Satisfactory
Benin,1979,Male,15-24 year olds,Percent,45.71064,Medium,Satisfactory,Benin - Satisfactory
Benin,1992,Male,15-24 year olds,Percent,55.13022,Medium,Satisfactory,Benin - Satisfactory
Benin,2002,Male,15-24 year olds,Percent,59.20508,Medium,Satisfactory,Benin - Satisfactory
Benin,2006,Male,15-24 year olds,Percent,54.86694,Medium,Satisfactory,Benin - Satisfactory
Benin,2015,Male,15-24 year olds,Percent,62.58466,Medium,Satisfactory,Benin - Satisfactory
Benin,1979,Female,15-24 year olds,Percent,18.25518,Low,Needs Improvement,Benin - Needs Improvement
Benin,1992,Female,15-24 year olds,Percent,26.69029,Low,Needs Improvement,Benin - Needs Improvement
Benin,2002,Female,15-24 year olds,Percent,33.238,Low,Needs Improvement,Benin - Needs Improvement
Benin,2006,Female,15-24 year olds,Percent,30.78655,Low,Needs Improvement,Benin - Needs Improvement
Benin,2015,Female,15-24 year olds,Percent,42.50171,Medium,Satisfactory,Benin - Satisfactory
Benin,1979,All genders,15-24 year olds,Percent,29.78674,Low,Needs Improvement,Benin - Needs Improvement
Benin,1992,All genders,15-24 year olds,Percent,39.87661,Low,Needs Improvement,Benin - Needs Improvement
Benin,2002,All genders,15-24 year olds,Percent,45.30962,Medium,Satisfactory,Benin - Satisfactory
Benin,2006,All genders,15-24 year olds,Percent,42.3627,Medium,Satisfactory,Benin - Satisfactory
Benin,2015,All genders,15-24 year olds,Percent,52.54924,Medium,Satisfactory,Benin - Satisfactory
Bhutan,2005,All genders,15-24 year olds,Percent,74.40521,High,Satisfactory,Bhutan - Satisfactory
Bhutan,2012,All genders,15-24 year olds,Percent,87.31836,High,Satisfactory,Bhutan - Satisfactory
Bhutan,2015,All genders,15-24 year olds,Percent,92.04084,High,Satisfactory,Bhutan - Satisfactory
Bhutan,2005,Female,15-24 year olds,Percent,67.96426,Medium,Satisfactory,Bhutan - Satisfactory
Bhutan,2012,Female,15-24 year olds,Percent,84.48774,High,Satisfactory,Bhutan - Satisfactory
Bhutan,2015,Female,15-24 year olds,Percent,90.44759,High,Satisfactory,Bhutan - Satisfactory
Bhutan,2005,Male,15-24 year olds,Percent,80.04192,High,Satisfactory,Bhutan - Satisfactory
Bhutan,2012,Male,15-24 year olds,Percent,90.39581,High,Satisfactory,Bhutan - Satisfactory
Bhutan,2015,Male,15-24 year olds,Percent,93.56984,High,Satisfactory,Bhutan - Satisfactory
Bolivia,1976,Male,15-24 year olds,Percent,91.46814,High,Satisfactory,Bolivia - Satisfactory
Bolivia,1992,Male,15-24 year olds,Percent,96.31841,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2001,Male,15-24 year olds,Percent,98.54929,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2007,Male,15-24 year olds,Percent,99.75361,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2008,Male,15-24 year olds,Percent,99.39023,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2009,Male,15-24 year olds,Percent,99.69364,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2011,Male,15-24 year olds,Percent,99.24663,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2012,Male,15-24 year olds,Percent,99.16245,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2015,Male,15-24 year olds,Percent,99.1852,High,Satisfactory,Bolivia - Satisfactory
Bolivia,1976,All genders,15-24 year olds,Percent,83.55198,High,Satisfactory,Bolivia - Satisfactory
Bolivia,1992,All genders,15-24 year olds,Percent,93.89611,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2001,All genders,15-24 year olds,Percent,97.32378,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2007,All genders,15-24 year olds,Percent,99.44136,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2008,All genders,15-24 year olds,Percent,99.1225,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2009,All genders,15-24 year olds,Percent,99.38397,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2011,All genders,15-24 year olds,Percent,99.00752,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2015,Female,15-24 year olds,Percent,98.89202,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2012,All genders,15-24 year olds,Percent,98.99588,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2015,All genders,15-24 year olds,Percent,99.04049,High,Satisfactory,Bolivia - Satisfactory
Bolivia,1976,Female,15-24 year olds,Percent,75.84014,High,Satisfactory,Bolivia - Satisfactory
Bolivia,1992,Female,15-24 year olds,Percent,91.56598,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2001,Female,15-24 year olds,Percent,96.11462,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2007,Female,15-24 year olds,Percent,99.14458,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2008,Female,15-24 year olds,Percent,98.87941,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2009,Female,15-24 year olds,Percent,99.0843,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2011,Female,15-24 year olds,Percent,98.77202,High,Satisfactory,Bolivia - Satisfactory
Bolivia,2012,Female,15-24 year olds,Percent,98.82861,High,Satisfactory,Bolivia - Satisfactory
Bosnia and Herzegovina,2000,Female,15-24 year olds,Percent,99.84363,High,Satisfactory,Bosnia and Herzegovina - Satisfactory
Bosnia and Herzegovina,2014,Female,15-24 year olds,Percent,99.65999,High,Satisfactory,Bosnia and Herzegovina - Satisfactory
Bosnia and Herzegovina,2015,Female,15-24 year olds,Percent,99.64561,High,Satisfactory,Bosnia and Herzegovina - Satisfactory
Bosnia and Herzegovina,2000,All genders,15-24 year olds,Percent,99.79393,High,Satisfactory,Bosnia and Herzegovina - Satisfactory
Bosnia and Herzegovina,2014,All genders,15-24 year olds,Percent,99.66293,High,Satisfactory,Bosnia and Herzegovina - Satisfactory
Bosnia and Herzegovina,2015,All genders,15-24 year olds,Percent,99.65221,High,Satisfactory,Bosnia and Herzegovina - Satisfactory
Bosnia and Herzegovina,2000,Male,15-24 year olds,Percent,99.7482,High,Satisfactory,Bosnia and Herzegovina - Satisfactory
Bosnia and Herzegovina,2014,Male,15-24 year olds,Percent,99.66569,High,Satisfactory,Bosnia and Herzegovina - Satisfactory
Bosnia and Herzegovina,2015,Male,15-24 year olds,Percent,99.65842,High,Satisfactory,Bosnia and Herzegovina - Satisfactory
Botswana,1991,Male,15-24 year olds,Percent,85.90007,High,Satisfactory,Botswana - Satisfactory
Botswana,2003,Male,15-24 year olds,Percent,92.08331,High,Satisfactory,Botswana - Satisfactory
Botswana,2014,Male,15-24 year olds,Percent,95.937,High,Satisfactory,Botswana - Satisfactory
Botswana,2015,Male,15-24 year olds,Percent,96.13998,High,Satisfactory,Botswana - Satisfactory
Botswana,1991,Female,15-24 year olds,Percent,92.25188,High,Satisfactory,Botswana - Satisfactory
Botswana,1991,All genders,15-24 year olds,Percent,89.2583,High,Satisfactory,Botswana - Satisfactory
Botswana,2003,All genders,15-24 year olds,Percent,93.95744,High,Satisfactory,Botswana - Satisfactory
Botswana,2014,All genders,15-24 year olds,Percent,97.68083,High,Satisfactory,Botswana - Satisfactory
Botswana,2015,All genders,15-24 year olds,Percent,97.81232,High,Satisfactory,Botswana - Satisfactory
Botswana,2003,Female,15-24 year olds,Percent,95.59602,High,Satisfactory,Botswana - Satisfactory
Botswana,2014,Female,15-24 year olds,Percent,99.44711,High,Satisfactory,Botswana - Satisfactory
Botswana,2015,Female,15-24 year olds,Percent,99.50667,High,Satisfactory,Botswana - Satisfactory
Brazil,2000,Female,15-24 year olds,Percent,95.71902,High,Satisfactory,Brazil - Satisfactory
Brazil,2004,Female,15-24 year olds,Percent,97.90386,High,Satisfactory,Brazil - Satisfactory
Brazil,2006,Female,15-24 year olds,Percent,98.36166,High,Satisfactory,Brazil - Satisfactory
Brazil,2007,Female,15-24 year olds,Percent,98.55943,High,Satisfactory,Brazil - Satisfactory
Brazil,1980,Female,15-24 year olds,Percent,85.23655,High,Satisfactory,Brazil - Satisfactory
Brazil,1980,All genders,15-24 year olds,Percent,83.91427,High,Satisfactory,Brazil - Satisfactory
Brazil,2000,All genders,15-24 year olds,Percent,94.18411,High,Satisfactory,Brazil - Satisfactory
Brazil,2004,All genders,15-24 year olds,Percent,96.84386,High,Satisfactory,Brazil - Satisfactory
Brazil,2006,All genders,15-24 year olds,Percent,97.5823,High,Satisfactory,Brazil - Satisfactory
Brazil,2007,All genders,15-24 year olds,Percent,97.80063,High,Satisfactory,Brazil - Satisfactory
Brazil,2008,All genders,15-24 year olds,Percent,97.84363,High,Satisfactory,Brazil - Satisfactory
Brazil,2009,All genders,15-24 year olds,Percent,98.06554,High,Satisfactory,Brazil - Satisfactory
Brazil,2010,All genders,15-24 year olds,Percent,97.51412,High,Satisfactory,Brazil - Satisfactory
Brazil,2011,All genders,15-24 year olds,Percent,98.48692,High,Satisfactory,Brazil - Satisfactory
Brazil,2012,All genders,15-24 year olds,Percent,98.61966,High,Satisfactory,Brazil - Satisfactory
Brazil,2013,All genders,15-24 year olds,Percent,98.73668,High,Satisfactory,Brazil - Satisfactory
Brazil,2015,All genders,15-24 year olds,Percent,98.93239,High,Satisfactory,Brazil - Satisfactory
Brazil,2015,Female,15-24 year olds,Percent,99.35749,High,Satisfactory,Brazil - Satisfactory
Brazil,2008,Female,15-24 year olds,Percent,98.53111,High,Satisfactory,Brazil - Satisfactory
Brazil,2009,Female,15-24 year olds,Percent,98.69204,High,Satisfactory,Brazil - Satisfactory
Brazil,2010,Female,15-24 year olds,Percent,98.31874,High,Satisfactory,Brazil - Satisfactory
Brazil,2011,Female,15-24 year olds,Percent,99.07315,High,Satisfactory,Brazil - Satisfactory
Brazil,2012,Female,15-24 year olds,Percent,99.02082,High,Satisfactory,Brazil - Satisfactory
Brazil,2013,Female,15-24 year olds,Percent,99.22972,High,Satisfactory,Brazil - Satisfactory
Brazil,1980,Male,15-24 year olds,Percent,82.55676,High,Satisfactory,Brazil - Satisfactory
Brazil,2000,Male,15-24 year olds,Percent,92.65401,High,Satisfactory,Brazil - Satisfactory
Brazil,2004,Male,15-24 year olds,Percent,95.78389,High,Satisfactory,Brazil - Satisfactory
Brazil,2006,Male,15-24 year olds,Percent,96.797,High,Satisfactory,Brazil - Satisfactory
Brazil,2007,Male,15-24 year olds,Percent,97.05688,High,Satisfactory,Brazil - Satisfactory
Brazil,2008,Male,15-24 year olds,Percent,97.18046,High,Satisfactory,Brazil - Satisfactory
Brazil,2009,Male,15-24 year olds,Percent,97.44572,High,Satisfactory,Brazil - Satisfactory
Brazil,2010,Male,15-24 year olds,Percent,96.71617,High,Satisfactory,Brazil - Satisfactory
Brazil,2011,Male,15-24 year olds,Percent,97.90999,High,Satisfactory,Brazil - Satisfactory
Brazil,2012,Male,15-24 year olds,Percent,98.22743,High,Satisfactory,Brazil - Satisfactory
